Taxpayer Number,Taxpayer Name,Taxpayer Address,Taxpayer City,Taxpayer State,Taxpayer Zip,Taxpayer County,Location Number,Location Name,Location Address,Location City,Location State,Location Zip,Location County,Inside/Outside City Limits,TABC Permit Number,Responsibility Begin Date,Responsibility End Date,Obligation End Date,Liquor Receipts,Wine Receipts,Beer Receipts,Cover Charge Receipts,Total Receipts
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,08/31/2008,6418,4319,5243,0,15980
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,07/31/2017,6878,3575,3451,0,13904
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,08/31/2015,6321,3500,3738,0,13559
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,09/30/2007,6860,4157,4976,0,15993
32059765654,"LETS EADO IT, LLC",5601 SEARS ST STE B,DALLAS,TX,75206,57,1,TRUCK YARD,2118 LAMAR ST STE 150,HOUSTON,TX,77003,101,Y,MB967071,12/19/2016,,02/28/2017,0,0,0,0,0
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,07/31/2008,6664,4340,5121,0,16125
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,10/31/2014,6264,4425,4477,0,15166
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,10/31/2009,5887,6182,4935,0,17004
32041160378,"LW EAST END, LP",720 SHEPHERD DR,HOUSTON,TX,77007,101,1,LITTLE WOODROW'S EAST END,2019 WALKER ST,HOUSTON,TX,77003,101,Y,MB748290,05/14/2010,05/31/2016,10/31/2011,22374,436,39200,0,62010
17604784508,"GOLDEN MOUNTAIN, L.P.",4802 GULF FWY,HOUSTON,TX,77023,101,5,KIM SON RESTAURANT,2001 JEFFERSON ST,HOUSTON,TX,77003,101,Y,MB523330,02/01/2007,,01/31/2015,7284,4879,4574,0,16737
